iter	Passed	Remaining
850	2717	475
851	2720	472
852	2722	469
853	2725	465
854	2728	462
855	2731	459
856	2733	456
857	2736	452
858	2739	449
859	2742	446
860	2745	443
861	2747	439
862	2751	436
863	2756	433
864	2759	430
865	2764	427
866	2766	424
867	2770	421
868	2773	418
869	2776	414
870	2779	411
871	2781	408
872	2785	405
873	2789	402
874	2793	399
875	2796	395
876	2799	392
877	2802	389
878	2804	386
879	2807	382
880	2810	379
881	2813	376
882	2816	373
883	2819	369
884	2821	366
885	2824	363
886	2827	360
887	2830	356
888	2833	353
889	2835	350
890	2838	347
891	2841	344
892	2844	340
893	2847	337
894	2850	334
895	2852	331
896	2855	327
897	2858	324
898	2862	321
899	2865	318
900	2867	315
901	2870	311
902	2873	308
903	2877	305
904	2880	302
905	2884	299
906	2888	296
907	2891	292
908	2895	289
909	2898	286
910	2902	283
911	2906	280
912	2909	277
913	2912	274
914	2915	270
915	2918	267
916	2921	264
917	2925	261
918	2929	258
919	2932	255
920	2936	251
921	2939	248
922	2942	245
923	2945	242
924	2948	239
925	2951	235
926	2954	232
927	2957	229
928	2960	226
929	2962	223
930	2965	219
931	2968	216
932	2972	213
933	2975	210
934	2979	207
935	2982	203
936	2986	200
937	2989	197
938	2993	194
939	2998	191
940	3001	188
941	3005	185
942	3009	181
943	3013	178
944	3016	175
945	3020	172
946	3023	169
947	3027	166
948	3030	162
949	3034	159
950	3036	156
951	3039	153
952	3042	150
953	3045	146
954	3048	143
955	3050	140
956	3053	137
957	3056	133
958	3059	130
959	3062	127
960	3065	124
961	3068	121
962	3072	118
963	3076	114
964	3079	111
965	3082	108
966	3084	105
967	3088	102
968	3092	98
969	3096	95
970	3100	92
971	3103	89
972	3108	86
973	3111	83
974	3114	79
975	3117	76
976	3120	73
977	3123	70
978	3126	67
979	3129	63
980	3132	60
981	3135	57
982	3138	54
983	3141	51
984	3144	47
985	3146	44
986	3149	41
987	3152	38
988	3155	35
989	3158	31
990	3161	28
991	3164	25
992	3168	22
993	3172	19
994	3174	15
995	3177	12
996	3180	9
997	3184	6
998	3188	3
999	3191	0
